WorkPlaceNo,injected_start,injected_end,injected_minutes,reason
813-01,2025-12-23 22:00:00,2026-12-30 22:00:00,535680,extend_to_horizon_after_last_end
813-02,2026-12-18 21:00:00,2026-12-30 22:00:00,17340,extend_to_horizon_after_last_end
814,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
814-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
814-02,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
814-04,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
814-05,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
814-06,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
815-01,2025-12-30 22:00:00,2026-12-30 22:00:00,525600,extend_to_horizon_after_last_end
816,2026-12-18 22:00:00,2026-12-30 22:00:00,17280,extend_to_horizon_after_last_end
816-03,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
816-04,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
816-05,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
816-06,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
816-07,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
817-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
817-02,2026-12-18 22:00:00,2026-12-30 22:00:00,17280,extend_to_horizon_after_last_end
817-03,2026-12-18 22:00:00,2026-12-30 22:00:00,17280,extend_to_horizon_after_last_end
818-01,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
818-02,2026-12-18 22:00:00,2026-12-30 22:00:00,17280,extend_to_horizon_after_last_end
820-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
820-02,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
820-03,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
820-04,2026-12-29 14:00:00,2026-12-30 22:00:00,1920,extend_to_horizon_after_last_end
861,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
861-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
861-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
871,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
871-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
871-02,2026-12-23 12:00:00,2026-12-30 22:00:00,10680,extend_to_horizon_after_last_end
871-03,2026-12-23 12:00:00,2026-12-30 22:00:00,10680,extend_to_horizon_after_last_end
900,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
900-0001,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
900032,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
900239,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
900744,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
900902,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
901,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
901-0001,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
901200,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
901217,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
901218,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
901237,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
902,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
902-01,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
902-02,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
902278,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
903483,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
903533,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
903537,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
AP0031,2026-12-18 00:01:00,2026-12-30 22:00:00,18599,extend_to_horizon_after_last_end
FMEA,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
NC-P,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
PRM,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
QMB,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
RBP,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
k.D.,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
